iter	Passed	Remaining
274	801	2112
275	804	2110
276	808	2110
277	811	2106
278	816	2109
279	819	2106
280	823	2106
281	826	2103
282	828	2098
283	830	2093
284	833	2090
285	836	2089
286	841	2091
287	846	2092
288	849	2089
289	852	2087
290	855	2083
291	862	2091
292	865	2087
293	867	2082
294	869	2078
295	872	2074
296	875	2071
297	878	2070
298	882	2069
299	885	2066
300	888	2062
301	891	2060
302	894	2058
303	898	2056
304	900	2051
305	903	2048
306	906	2047
307	909	2042
308	911	2037
309	914	2036
310	917	2031
311	920	2028
312	921	2023
313	924	2019
314	930	2024
315	933	2020
316	936	2017
317	939	2014
318	942	2011
319	945	2008
320	950	2010
321	952	2006
322	955	2002
323	958	2000
324	961	1996
325	963	1992
326	968	1992
327	974	1995
328	978	1994
329	981	1993
330	983	1988
331	987	1986
332	990	1983
333	992	1979
334	996	1978
335	998	1973
336	1000	1968
337	1004	1967
338	1007	1965
339	1012	1964
340	1014	1961
341	1018	1958
342	1020	1954
343	1025	1955
344	1027	1951
345	1030	1947
346	1034	1946
347	1037	1943
348	1039	1939
349	1042	1936
350	1049	1940
351	1052	1936
352	1062	1946
353	1064	1943
354	1068	1942
355	1073	1941
356	1076	1938
357	1079	1936
358	1082	1931
359	1085	1929
360	1088	1927
361	1091	1924
362	1095	1922
363	1098	1919
364	1102	1918
365	1104	1913
366	1108	1912
367	1110	1907
368	1112	1903
369	1115	1899
370	1118	1895
371	1124	1898
372	1131	1901
373	1134	1898
374	1136	1894
375	1139	1891
376	1141	1886
377	1144	1883
378	1147	1880
379	1149	1875
380	1151	1870
381	1154	1867
382	1156	1862
383	1164	1867
384	1166	1863
385	1170	1861
386	1172	1856
387	1175	1853
388	1178	1851
389	1187	1857
390	1194	1860
391	1200	1861
392	1202	1857
393	1210	1861
394	1217	1864
395	1221	1862
396	1225	1860
397	1228	1857
398	1231	1855
399	1233	1850
400	1238	1850
401	1242	1848
402	1245	1844
403	1248	1842
404	1251	1838
405	1254	1835
406	1258	1833
407	1263	1833
408	1266	1830
409	1271	1829
410	1277	1830
411	1279	1826
412	1284	1825
413	1286	1820
414	1292	1822
415	1294	1817
416	1301	1819
417	1303	1815
418	1307	1813
419	1309	1808
420	1312	1804
421	1316	1803
422	1322	1803
423	1326	1801
424	1329	1798
425	1333	1796
426	1336	1793
427	1339	1790
428	1346	1792
429	1356	1798
430	1362	1799
431	1366	1796
432	1370	1794
433	1378	1797
434	1383	1796
435	1387	1794
436	1389	1790
437	1393	1788
438	1397	1785
439	1401	1783
440	1406	1782
441	1408	1778
442	1412	1775
443	1416	1773
444	1419	1770
445	1422	1767
446	1425	1764
447	1430	1762
448	1432	1757
449	1435	1754
450	1437	1749
451	1439	1745
452	1442	1742
453	1445	1738
454	1448	1734
455	1452	1732
456	1455	1729
457	1458	1726
458	1460	1721
459	1465	1719
460	1468	1717
461	1474	1717
462	1477	1713
463	1480	1710
464	1484	1707
465	1488	1705
466	1493	1704
467	1499	1704
468	1501	1700
469	1505	1697
470	1508	1694
471	1512	1691
472	1514	1687
473	1518	1684
474	1519	1679
475	1522	1676
476	1525	1672
477	1527	1667
478	1529	1663
479	1532	1660
480	1534	1655
481	1536	1651
482	1540	1648
483	1542	1644
484	1544	1640
485	1548	1637
486	1550	1633
487	1553	1629
488	1556	1626
489	1558	1622
490	1563	1620
491	1570	1621
492	1572	1617
493	1576	1614
494	1578	1610
495	1580	1606
496	1583	1602
497	1585	1597
498	1587	1593
499	1590	1590
500	1592	1586
501	1594	1582
502	1598	1579
503	1601	1576
504	1603	1572
505	1607	1569
506	1609	1565
507	1614	1563
508	1616	1559
509	1621	1558
510	1625	1555
511	1628	1551
512	1630	1547
513	1632	1543
514	1635	1540
515	1638	1537
516	1643	1535
517	1646	1532
518	1651	1530
519	1652	1525
520	1656	1522
521	1658	1518
522	1660	1514
523	1665	1513
524	1669	1510
525	1673	1507
526	1675	1504
527	1678	1500
528	1680	1496
529	1686	1495
530	1690	1493
531	1693	1489
532	1697	1487
533	1699	1483
534	1703	1480
535	1706	1477
536	1710	1474
537	1712	1470
538	1715	1466
539	1719	1464
540	1721	1460
541	1726	1458
542	1729	1455
543	1732	1452
544	1736	1449
545	1742	1449
546	1745	1445
547	1748	1441
548	1750	1438
549	1757	1438
550	1760	1434
551	1765	1432
552	1770	1431
553	1774	1428
554	1777	1425
555	1780	1421
556	1785	1419
557	1788	1416
558	1794	1415
559	1797	1412
560	1802	1410
561	1804	1406
562	1807	1402
563	1809	1399
564	1818	1399
565	1824	1399
566	1828	1396
567	1831	1392
568	1834	1389
569	1837	1386
570	1841	1383
571	1844	1379
572	1848	1377
573	1852	1375
574	1855	1371
575	1859	1368
576	1862	1365
577	1864	1361
578	1869	1359
579	1878	1360
580	1881	1356
581	1885	1354
582	1888	1350
583	1891	1347
584	1893	1343
585	1900	1342
586	1906	1341
587	1909	1338
588	1912	1334
589	1915	1331
590	1920	1328
591	1926	1327
592	1930	1324
593	1932	1321
594	1937	1318
595	1938	1314
596	1944	1312
597	1946	1308
598	1952	1306
599	1954	1303
600	1959	1300
601	1963	1298
602	1966	1294
603	1970	1291
604	1973	1288
605	1977	1285
606	1980	1282
607	1982	1277
608	1985	1274
609	1987	1270
610	1994	1269
611	1998	1267
612	2001	1263
613	2003	1259
614	2007	1256
615	2018	1258
616	2020	1254
617	2024	1251
618	2026	1247
619	2029	1244
620	2032	1240
621	2035	1236
622	2041	1235
623	2045	1232
624	2048	1228
625	2050	1225
626	2054	1222
627	2056	1218
628	2058	1214
629	2060	1210
630	2064	1207
631	2069	1204
632	2073	1202
633	2076	1198
634	2080	1196
635	2083	1192
636	2085	1188
637	2088	1184
638	2090	1181
639	2093	1177
640	2098	1175
641	2102	1172
642	2104	1168
643	2107	1164
644	2109	1160
645	2114	1158
646	2118	1155
647	2122	1152
648	2124	1149
649	2129	1146
650	2134	1144
651	2136	1140
652	2138	1136
653	2140	1132
654	2144	1129
655	2148	1126
656	2153	1124
657	2155	1120
658	2159	1117
659	2161	1113
660	2164	1110
661	2167	1106
662	2171	1103
663	2174	1100
664	2176	1096
665	2179	1093
666	2182	1089
667	2185	1086
668	2189	1083
669	2194	1080
670	2195	1076
671	2200	1074
672	2203	1070
673	2206	1067
674	2208	1063
675	2210	1059
676	2213	1055
677	2216	1052
678	2219	1049
679	2222	1045
680	2223	1041
681	2225	1037
682	2227	1033
683	2230	1030
684	2233	1026
685	2236	1023
686	2237	1019
687	2241	1016
688	2244	1012
689	2247	1009
690	2250	1006
691	2252	1002
692	2254	998
693	2257	995
694	2260	992
695	2262	988
696	2265	984
697	2267	981
698	2270	977
699	2274	974
700	2279	972
701	2280	968
702	2281	964
703	2284	960
704	2288	957
705	2290	953
706	2292	950
707	2294	946
708	2296	942
709	2297	938
710	2301	935
711	2303	931
712	2305	928
713	2307	924
714	2309	920
715	2310	916
716	2313	913
717	2315	909
718	2318	906
719	2320	902
720	2322	898
721	2324	895
722	2326	891
723	2328	887
724	2331	884
725	2332	880
726	2334	876
727	2336	873
728	2338	869
729	2340	865
730	2343	862
731	2346	859
732	2348	855
733	2350	851
734	2353	848
735	2357	845
736	2360	842
737	2362	838
738	2364	835
739	2366	831
740	2369	828
741	2370	824
742	2372	820
743	2374	817
744	2376	813
745	2378	809
746	2381	806
747	2384	803
748	2386	799
749	2388	796
750	2390	792
751	2391	788
752	2393	785
753	2396	781
754	2397	778
755	2400	774
756	2402	771
757	2405	767
758	2406	764
759	2408	760
760	2410	756
761	2412	753
762	2413	749
763	2415	746
764	2417	742
765	2419	739
766	2422	735
767	2424	732
768	2426	729
769	2428	725
770	2429	721
771	2432	718
772	2434	714
773	2435	711
774	2437	707
775	2439	704
776	2441	700
777	2442	697
778	2444	693
779	2446	690
780	2449	686
781	2451	683
782	2454	680
783	2456	676
784	2458	673
785	2460	669
786	2462	666
787	2464	662
788	2466	659
789	2468	656
790	2470	652
791	2472	649
792	2474	645
793	2476	642
794	2478	639
795	2480	635
796	2481	632
797	2483	628
798	2485	625
799	2487	621
800	2488	618
801	2490	614
802	2493	611
803	2494	608
804	2497	605
805	2499	601
806	2501	598
807	2503	594
808	2505	591
809	2507	588
810	2508	584
811	2510	581
812	2512	577
813	2514	574
814	2515	571
815	2517	567
816	2519	564
817	2521	561
818	2523	557
819	2525	554
820	2527	551
821	2529	547
822	2531	544
823	2532	540
824	2535	537
825	2537	534
826	2539	531
827	2541	527
828	2544	524
829	2545	521
830	2547	518
831	2549	514
832	2551	511
833	2552	508
834	2554	504
835	2556	501
836	2558	498
837	2560	495
838	2562	491
839	2564	488
840	2566	485
841	2568	481
842	2570	478
843	2572	475
844	2574	472
845	2575	468
846	2577	465
847	2579	462
848	2581	459
849	2583	455
850	2584	452
851	2586	449
852	2588	446
853	2590	442
854	2591	439
855	2593	436
856	2596	433
857	2597	429
858	2599	426
859	2600	423
860	2602	420
861	2604	417
862	2606	413
863	2607	410
864	2609	407
865	2611	404
866	2613	400
867	2614	397
868	2616	394
869	2618	391
870	2620	388
871	2621	384
872	2623	381
873	2625	378
874	2627	375
875	2628	372
876	2630	368
877	2632	365
878	2634	362
879	2636	359
880	2637	356
881	2640	353
882	2641	350
883	2643	346
884	2645	343
885	2646	340
886	2648	337
887	2649	334
888	2652	331
889	2654	328
890	2655	324
891	2657	321
892	2659	318
893	2661	315
894	2663	312
895	2665	309
896	2667	306
897	2668	303
898	2670	299
899	2672	296
900	2675	294
901	2677	290
902	2679	287
903	2681	284
904	2683	281
905	2685	278
906	2687	275
907	2688	272
908	2690	269
909	2692	266
910	2694	263
911	2695	260
912	2697	257
913	2699	253
914	2702	251
915	2704	248
916	2707	245
917	2709	241
918	2710	238
919	2712	235
920	2714	232
921	2716	229
922	2718	226
923	2720	223
924	2722	220
925	2724	217
926	2725	214
927	2728	211
928	2729	208
929	2731	205
930	2733	202
931	2735	199
932	2736	196
933	2738	193
934	2740	190
935	2742	187
936	2744	184
937	2746	181
938	2748	178
939	2749	175
940	2751	172
941	2753	169
942	2755	166
943	2757	163
944	2758	160
945	2760	157
946	2762	154
947	2764	151
948	2766	148
949	2768	145
950	2770	142
951	2772	139
952	2774	136
953	2776	133
954	2777	130
955	2779	127
956	2781	124
957	2783	122
958	2785	119
959	2787	116
960	2789	113
961	2790	110
962	2792	107
963	2794	104
964	2797	101
965	2801	98
966	2803	95
967	2806	92
968	2808	89
969	2810	86
970	2812	83
971	2814	81
972	2817	78
973	2818	75
974	2821	72
975	2824	69
976	2826	66
977	2828	63
978	2830	60
979	2832	57
980	2834	54
981	2836	51
982	2838	49
983	2840	46
984	2842	43
985	2843	40
986	2845	37
987	2847	34
988	2849	31
989	2851	28
990	2853	25
991	2855	23
992	2857	20
993	2858	17
994	2860	14
995	2862	11
996	2864	8
997	2866	5
998	2868	2
999	2870	0
